type	time	latitude	longitude	altitude (m)	name
T	2008-10-23 04:09:45	39.984532000	116.299451000	267.9	
T	2008-10-23 04:09:47	39.984527000	116.299451000	267.9	
T	2008-10-23 04:09:52	39.984517000	116.299447000	267.9	
T	2008-10-23 04:09:57	39.984509000	116.299438000	268.2	
T	2008-10-23 04:10:02	39.984497000	116.299411000	267.6	
T	2008-10-23 04:10:07	39.984499000	116.299405000	267.9	
T	2008-10-23 04:10:12	39.984498000	116.299407000	267.6	
T	2008-10-23 04:10:15	39.984498000	116.299407000	267.6	
T	2008-10-23 04:10:17	39.984493000	116.299412000	267.6	
T	2008-10-23 04:10:22	39.984498000	116.299466000	266.4	
T	2008-10-23 04:10:27	39.984546000	116.299410000	263.3	
T	2008-10-23 04:10:32	39.984638000	116.299318000	261.2	
T	2008-10-23 04:10:37	39.984730000	116.299315000	259.1	
T	2008-10-23 04:10:42	39.984753000	116.299305000	256.0	
T	2008-10-23 04:10:47	39.984789000	116.299297000	252.7	
T	2008-10-23 04:10:52	39.984795000	116.299391000	251.5	
T	2008-10-23 04:10:57	39.984778000	116.299504000	250.2	
T	2008-10-23 04:11:02	39.984743000	116.299617000	249.3	
T	2008-10-23 04:11:07	39.984671000	116.299625000	244.4	
T	2008-10-23 04:11:12	39.984694000	116.299536000	237.7	
T	2008-10-23 04:11:17	39.984733000	116.299520000	234.4	
T	2008-10-23 04:11:22	39.983841000	116.299902000	249.3	
T	2008-10-23 04:11:27	39.983861000	116.300177000	222.2	
T	2008-10-23 04:11:32	39.983842000	116.300329000	196.9	
T	2008-10-23 04:11:37	39.983984000	116.300308000	174.7	
T	2008-10-23 04:11:42	39.984126000	116.300188000	148.1	
T	2008-10-23 04:11:47	39.984246000	116.300058000	125.3	
T	2008-10-23 04:11:52	39.984373000	116.300019000	108.8	
T	2008-10-23 04:11:57	39.984533000	116.300043000	96.0	
T	2008-10-23 04:12:02	39.984723000	116.300058000	79.6	
T	2008-10-23 04:12:07	39.984789000	116.300151000	71.3	
T	2008-10-23 04:12:12	39.984837000	116.300216000	62.8	
T	2008-10-23 04:12:17	39.984859000	116.300332000	59.4	
T	2008-10-23 04:12:22	39.984888000	116.300514000	56.7	
T	2008-10-23 04:12:27	39.984896000	116.300689000	53.6	
T	2008-10-23 04:12:32	39.984905000	116.300885000	50.9	
T	2008-10-23 04:12:37	39.984911000	116.301049000	49.4	
T	2008-10-23 04:12:42	39.984925000	116.301221000	50.0	
T	2008-10-23 04:12:47	39.984930000	116.301391000	49.7	
T	2008-10-23 04:12:52	39.984938000	116.301568000	50.6	
T	2008-10-23 04:12:57	39.984948000	116.301741000	51.5	
T	2008-10-23 04:13:02	39.984945000	116.301915000	53.9	
T	2008-10-23 04:13:07	39.984953000	116.302055000	54.6	
T	2008-10-23 04:13:12	39.984953000	116.302264000	55.5	
T	2008-10-23 04:13:17	39.984960000	116.302488000	55.8	
T	2008-10-23 04:13:22	39.984973000	116.302679000	55.5	
T	2008-10-23 04:13:27	39.984983000	116.302860000	55.2	
T	2008-10-23 04:13:32	39.985009000	116.303037000	54.9	
T	2008-10-23 04:13:37	39.985043000	116.303258000	54.6	
T	2008-10-23 04:13:42	39.985030000	116.303496000	51.8	
T	2008-10-23 04:13:47	39.985039000	116.303685000	53.6	
T	2008-10-23 04:13:52	39.985028000	116.303884000	53.3	
T	2008-10-23 04:13:57	39.984993000	116.304067000	53.0	
T	2008-10-23 04:14:02	39.985027000	116.304163000	53.9	
T	2008-10-23 04:14:07	39.985038000	116.304260000	53.3	
T	2008-10-23 04:14:12	39.985042000	116.304459000	52.1	
T	2008-10-23 04:14:17	39.985029000	116.304647000	53.3	
T	2008-10-23 04:14:22	39.985023000	116.304811000	53.6	
T	2008-10-23 04:14:27	39.985031000	116.304927000	53.3	
T	2008-10-23 04:14:32	39.985082000	116.305192000	53.9	
T	2008-10-23 04:14:37	39.985105000	116.305348000	53.6	
T	2008-10-23 04:14:42	39.985132000	116.305499000	53.3	
T	2008-10-23 04:14:47	39.985169000	116.305649000	55.8	
T	2008-10-23 04:14:52	39.985135000	116.305834000	54.3	
T	2008-10-23 04:14:57	39.985146000	116.305984000	53.3	
T	2008-10-23 04:15:02	39.985131000	116.306178000	53.0	
T	2008-10-23 04:15:07	39.985127000	116.306363000	51.2	
T	2008-10-23 04:15:12	39.985135000	116.306531000	51.5	
T	2008-10-23 04:15:17	39.985157000	116.306711000	50.6	
T	2008-10-23 04:15:22	39.985170000	116.306893000	52.4	
T	2008-10-23 04:15:27	39.985154000	116.307092000	54.3	
T	2008-10-23 04:15:32	39.985184000	116.307341000	53.6	
T	2008-10-23 04:15:37	39.985210000	116.307510000	51.2	
T	2008-10-23 04:15:42	39.985231000	116.307633000	51.8	
T	2008-10-23 04:15:47	39.985260000	116.307735000	53.3	
T	2008-10-23 04:15:52	39.985240000	116.307933000	53.0	
T	2008-10-23 04:15:57	39.985225000	116.308133000	53.0	
T	2008-10-23 04:16:02	39.985256000	116.308313000	53.6	
T	2008-10-23 04:16:07	39.985218000	116.308579000	53.0	
T	2008-10-23 04:16:12	39.985201000	116.308774000	53.0	
T	2008-10-23 04:16:17	39.985203000	116.308980000	52.7	
T	2008-10-23 04:16:22	39.985221000	116.309152000	53.6	
T	2008-10-23 04:16:27	39.985194000	116.309310000	53.9	
T	2008-10-23 04:16:32	39.985161000	116.309494000	53.9	
T	2008-10-23 04:16:37	39.985190000	116.309701000	54.6	
T	2008-10-23 04:16:42	39.985202000	116.309888000	54.3	
T	2008-10-23 04:16:47	39.985282000	116.309980000	52.4	
T	2008-10-23 04:16:52	39.985443000	116.309980000	52.7	
T	2008-10-23 04:16:57	39.985579000	116.309969000	49.7	
T	2008-10-23 04:17:02	39.985721000	116.309961000	48.5	
T	2008-10-23 04:17:07	39.985840000	116.309941000	46.9	
T	2008-10-23 04:17:12	39.985950000	116.309978000	46.6	
T	2008-10-23 04:17:17	39.986051000	116.310034000	46.3	
T	2008-10-23 04:17:22	39.986174000	116.310025000	47.9	
T	2008-10-23 04:17:27	39.986305000	116.309956000	49.4	
T	2008-10-23 04:17:32	39.986461000	116.309885000	46.0	
T	2008-10-23 04:17:37	39.986611000	116.309862000	44.5	
T	2008-10-23 04:17:42	39.986697000	116.309893000	42.4	
T	2008-10-23 04:17:47	39.986793000	116.309956000	39.3	
T	2008-10-23 04:17:52	39.986929000	116.309974000	38.7	
T	2008-10-23 04:17:57	39.987073000	116.309987000	38.7	
T	2008-10-23 04:18:02	39.987211000	116.310004000	39.0	
T	2008-10-23 04:18:07	39.987325000	116.310070000	40.5	
T	2008-10-23 04:18:12	39.987458000	116.310084000	41.8	
T	2008-10-23 04:18:17	39.987591000	116.310088000	44.2	
T	2008-10-23 04:18:22	39.987747000	116.310049000	46.6	
T	2008-10-23 04:18:27	39.987884000	116.310027000	48.5	
T	2008-10-23 04:18:32	39.988008000	116.310059000	53.6	
T	2008-10-23 04:18:37	39.988111000	116.310052000	51.5	
T	2008-10-23 04:18:42	39.988293000	116.309902000	45.7	
T	2008-10-23 04:18:47	39.988397000	116.309931000	45.7	
T	2008-10-23 04:18:52	39.988553000	116.309866000	42.1	
T	2008-10-23 04:18:57	39.988679000	116.309824000	40.2	
T	2008-10-23 04:19:02	39.988772000	116.309784000	37.5	
T	2008-10-23 04:19:07	39.988901000	116.309793000	36.3	
T	2008-10-23 04:19:12	39.989029000	116.309833000	37.5	
T	2008-10-23 04:19:17	39.989173000	116.309866000	42.4	
T	2008-10-23 04:19:22	39.989287000	116.309905000	43.0	
T	2008-10-23 04:19:27	39.989392000	116.309949000	45.7	
T	2008-10-23 04:19:32	39.989519000	116.310031000	50.9	
T	2008-10-23 04:19:37	39.989628000	116.310049000	54.3	
T	2008-10-23 04:19:42	39.989762000	116.310024000	56.1	
T	2008-10-23 04:19:47	39.989838000	116.310098000	60.7	
T	2008-10-23 04:19:52	39.989981000	116.310115000	55.2	
T	2008-10-23 04:19:57	39.990089000	116.310169000	59.7	
T	2008-10-23 04:20:02	39.990219000	116.310215000	63.4	
T	2008-10-23 04:20:07	39.990325000	116.310258000	65.5	
T	2008-10-23 04:20:12	39.990406000	116.310277000	68.0	
T	2008-10-23 04:20:17	39.990560000	116.310190000	71.6	
T	2008-10-23 04:20:22	39.990650000	116.310134000	70.7	
T	2008-10-23 04:20:27	39.990693000	116.310114000	70.1	
T	2008-10-23 04:20:32	39.990696000	116.310111000	70.7	
T	2008-10-23 04:20:37	39.990698000	116.310105000	70.7	
T	2008-10-23 04:20:42	39.990698000	116.310103000	70.4	
T	2008-10-23 04:20:47	39.990696000	116.310101000	70.4	
T	2008-10-23 04:20:52	39.990695000	116.310095000	70.1	
T	2008-10-23 04:20:57	39.990692000	116.310092000	70.1	
T	2008-10-23 04:21:02	39.990690000	116.310090000	70.1	
T	2008-10-23 04:21:07	39.990689000	116.310088000	70.1	
T	2008-10-23 04:21:12	39.990689000	116.310087000	70.1	
T	2008-10-23 04:21:15	39.990689000	116.310087000	70.1	
T	2008-10-23 04:21:17	39.990696000	116.310090000	70.1	
T	2008-10-23 04:21:22	39.990743000	116.310066000	64.3	
T	2008-10-23 04:21:27	39.990793000	116.310109000	57.9	
T	2008-10-23 04:21:32	39.990837000	116.310205000	54.3	
T	2008-10-23 04:21:37	39.990873000	116.310318000	49.1	
T	2008-10-23 04:21:42	39.990887000	116.310479000	44.2	
T	2008-10-23 04:21:47	39.990874000	116.310657000	40.8	
T	2008-10-23 04:21:52	39.990906000	116.310827000	36.9	
T	2008-10-23 04:21:57	39.990921000	116.310971000	32.9	
T	2008-10-23 04:22:02	39.990933000	116.311149000	30.2	
T	2008-10-23 04:22:07	39.990969000	116.311312000	27.4	
T	2008-10-23 04:22:12	39.990994000	116.311507000	25.0	
T	2008-10-23 04:22:17	39.991014000	116.311693000	22.3	
T	2008-10-23 04:22:22	39.991010000	116.311915000	22.9	
T	2008-10-23 04:22:27	39.991033000	116.312107000	22.6	
T	2008-10-23 04:22:32	39.991055000	116.312282000	23.8	
T	2008-10-23 04:22:37	39.991058000	116.312473000	25.0	
T	2008-10-23 04:22:42	39.991032000	116.312666000	26.2	
T	2008-10-23 04:22:47	39.991024000	116.312853000	26.2	
T	2008-10-23 04:22:52	39.991022000	116.313047000	25.6	
T	2008-10-23 04:22:57	39.991018000	116.313244000	27.7	
T	2008-10-23 04:23:02	39.991016000	116.313469000	30.2	
T	2008-10-23 04:23:07	39.991035000	116.313681000	31.4	
T	2008-10-23 04:23:12	39.991063000	116.313840000	30.5	
T	2008-10-23 04:23:17	39.991072000	116.314030000	29.9	
T	2008-10-23 04:23:22	39.991068000	116.314209000	33.2	
T	2008-10-23 04:23:27	39.991095000	116.314385000	33.8	
T	2008-10-23 04:23:32	39.991113000	116.314596000	34.1	
T	2008-10-23 04:23:37	39.991128000	116.314797000	33.2	
T	2008-10-23 04:23:42	39.991127000	116.315003000	35.4	
T	2008-10-23 04:23:47	39.991148000	116.315193000	36.6	
T	2008-10-23 04:23:52	39.991176000	116.315342000	34.1	
T	2008-10-23 04:23:57	39.991215000	116.315529000	32.3	
T	2008-10-23 04:24:02	39.991209000	116.315643000	32.3	
T	2008-10-23 04:24:07	39.991191000	116.315790000	31.7	
T	2008-10-23 04:24:12	39.991188000	116.315958000	32.6	
T	2008-10-23 04:24:17	39.991189000	116.316172000	31.1	
T	2008-10-23 04:24:22	39.991186000	116.316381000	29.3	
T	2008-10-23 04:24:27	39.991194000	116.316575000	28.0	
T	2008-10-23 04:24:32	39.991208000	116.316756000	26.5	
T	2008-10-23 04:24:37	39.991220000	116.316999000	26.8	
T	2008-10-23 04:24:42	39.991197000	116.317235000	27.7	
T	2008-10-23 04:24:47	39.991183000	116.317452000	28.7	
T	2008-10-23 04:24:52	39.991164000	116.317661000	28.0	
T	2008-10-23 04:24:57	39.991187000	116.317874000	27.4	
T	2008-10-23 04:25:02	39.991179000	116.318083000	27.4	
T	2008-10-23 04:25:07	39.991132000	116.318231000	29.0	
T	2008-10-23 04:25:12	39.991169000	116.318480000	29.6	
T	2008-10-23 04:25:17	39.991183000	116.318691000	27.4	
T	2008-10-23 04:25:22	39.991204000	116.318904000	28.7	
T	2008-10-23 04:25:27	39.991201000	116.319098000	26.8	
T	2008-10-23 04:25:32	39.991194000	116.319315000	26.2	
T	2008-10-23 04:25:37	39.991187000	116.319490000	26.5	
T	2008-10-23 04:25:42	39.991206000	116.319683000	26.5	
T	2008-10-23 04:25:47	39.991239000	116.319866000	24.7	
T	2008-10-23 04:25:52	39.991258000	116.320062000	22.3	
T	2008-10-23 04:25:57	39.991282000	116.320255000	21.6	
T	2008-10-23 04:26:02	39.991288000	116.320445000	20.1	
T	2008-10-23 04:26:07	39.991308000	116.320622000	18.0	
T	2008-10-23 04:26:12	39.991325000	116.320803000	15.5	
T	2008-10-23 04:26:17	39.991352000	116.321002000	15.2	
T	2008-10-23 04:26:22	39.991382000	116.321179000	14.3	
T	2008-10-23 04:26:27	39.991388000	116.321384000	16.2	
T	2008-10-23 04:26:32	39.991389000	116.321583000	16.2	
T	2008-10-23 04:26:37	39.991368000	116.321736000	15.8	
T	2008-10-23 04:26:42	39.991410000	116.321874000	15.5	
T	2008-10-23 04:26:47	39.991412000	116.322004000	16.8	
T	2008-10-23 04:26:52	39.991406000	116.322176000	20.4	
T	2008-10-23 04:26:57	39.991403000	116.322296000	21.3	
T	2008-10-23 04:27:02	39.991401000	116.322436000	21.3	
T	2008-10-23 04:27:07	39.991477000	116.322668000	20.1	
T	2008-10-23 04:27:12	39.991591000	116.322784000	22.6	
T	2008-10-23 04:27:17	39.991716000	116.322778000	24.4	
T	2008-10-23 04:27:22	39.991863000	116.322774000	25.3	
T	2008-10-23 04:27:27	39.992007000	116.322784000	27.4	
T	2008-10-23 04:27:32	39.992201000	116.322812000	29.9	
T	2008-10-23 04:27:37	39.992365000	116.322800000	35.7	
T	2008-10-23 04:27:42	39.992456000	116.322797000	42.4	
T	2008-10-23 04:27:47	39.992600000	116.322810000	46.6	
T	2008-10-23 04:27:52	39.992777000	116.322891000	45.1	
T	2008-10-23 04:27:57	39.992883000	116.322891000	45.7	
T	2008-10-23 04:28:02	39.993001000	116.322713000	46.6	
T	2008-10-23 04:28:07	39.993077000	116.322617000	48.5	
T	2008-10-23 04:28:12	39.993222000	116.322651000	47.9	
T	2008-10-23 04:28:17	39.993429000	116.322760000	49.1	
T	2008-10-23 04:28:22	39.993535000	116.322744000	51.8	
T	2008-10-23 04:28:27	39.993640000	116.322658000	54.6	
T	2008-10-23 04:28:32	39.993796000	116.322579000	56.7	
T	2008-10-23 04:28:37	39.994055000	116.322804000	51.2	
T	2008-10-23 04:28:42	39.994175000	116.322829000	48.8	
T	2008-10-23 04:28:47	39.994276000	116.322786000	46.6	
T	2008-10-23 04:28:52	39.994471000	116.322763000	47.5	
T	2008-10-23 04:28:57	39.994648000	116.322723000	45.1	
T	2008-10-23 04:29:02	39.994810000	116.322641000	44.2	
T	2008-10-23 04:29:07	39.994946000	116.322625000	44.8	
T	2008-10-23 04:29:12	39.995093000	116.322620000	44.2	
T	2008-10-23 04:29:17	39.995235000	116.322606000	44.2	
T	2008-10-23 04:29:22	39.995392000	116.322607000	43.6	
T	2008-10-23 04:29:27	39.995567000	116.322533000	45.4	
T	2008-10-23 04:29:32	39.995718000	116.322520000	44.8	
T	2008-10-23 04:29:37	39.995852000	116.322517000	44.5	
T	2008-10-23 04:29:42	39.995993000	116.322556000	46.9	
T	2008-10-23 04:29:47	39.996110000	116.322544000	46.3	
T	2008-10-23 04:29:52	39.996234000	116.322552000	46.0	
T	2008-10-23 04:29:57	39.996392000	116.322481000	47.9	
T	2008-10-23 04:30:02	39.996534000	116.322464000	50.6	
T	2008-10-23 04:30:07	39.996632000	116.322425000	50.6	
T	2008-10-23 04:30:12	39.996645000	116.322412000	51.5	
T	2008-10-23 04:30:17	39.996725000	116.322348000	50.9	
T	2008-10-23 04:30:22	39.996881000	116.322337000	49.7	
T	2008-10-23 04:30:27	39.997081000	116.322428000	49.7	
T	2008-10-23 04:30:32	39.997277000	116.322428000	49.4	
T	2008-10-23 04:30:37	39.997592000	116.322314000	51.8	
T	2008-10-23 04:30:42	39.997750000	116.322301000	51.8	
T	2008-10-23 04:30:47	39.997865000	116.322317000	51.2	
T	2008-10-23 04:30:52	39.997988000	116.322310000	50.0	
T	2008-10-23 04:30:57	39.998151000	116.322261000	49.1	
T	2008-10-23 04:31:02	39.998307000	116.322268000	47.5	
T	2008-10-23 04:31:07	39.998452000	116.322236000	49.4	
T	2008-10-23 04:31:12	39.998603000	116.322225000	49.7	
T	2008-10-23 04:31:17	39.998753000	116.322225000	51.2	
T	2008-10-23 04:31:22	39.998895000	116.322254000	52.1	
T	2008-10-23 04:31:27	39.999078000	116.322196000	50.9	
T	2008-10-23 04:31:32	39.999218000	116.322176000	50.6	
T	2008-10-23 04:31:37	39.999364000	116.322161000	48.5	
T	2008-10-23 04:31:42	39.999484000	116.322148000	45.1	
T	2008-10-23 04:31:47	39.999607000	116.322178000	43.3	
T	2008-10-23 04:31:52	39.999602000	116.322324000	43.3	
T	2008-10-23 04:31:57	39.999603000	116.322434000	43.6	
T	2008-10-23 04:32:02	39.999586000	116.322587000	44.2	
T	2008-10-23 04:32:07	39.999573000	116.322760000	45.4	
T	2008-10-23 04:32:12	39.999572000	116.322932000	46.6	
T	2008-10-23 04:32:17	39.999565000	116.323134000	48.5	
